date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:33	113/113	---MC-	404	error ('Not%20Found')	application/json	date:Mon,%2002%20Oct%202017%2014:40:33%20GMT	https://elmirapump.com/index.php/wp-json/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/wp-json/index.html	(from https://elmirapump.com/)
10:40:33	52358/52358	---M--	200	added ('OK')	image/jpeg	etag:%22de0fb4-cc86-53a1d59739783%22	https://elmirapump.com/wp-content/uploads/2016/08/Reflective-Mountain.jpg	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/08/Reflective-Mountain.jpg	(from https://elmirapump.com/)
10:40:34	54623/54623	---M--	200	added ('OK')	image/png	etag:%22de0fa7-d55f-53a1d169b6b43%22	https://elmirapump.com/wp-content/uploads/2016/08/filterpress.png	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/08/filterpress.png	(from https://elmirapump.com/)
10:40:34	30001/30001	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:33%20GMT	https://elmirapump.com/index.php/about-us/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/about-us/index.html	(from https://elmirapump.com/)
10:40:34	24250/24250	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:33%20GMT	https://elmirapump.com/index.php/sample-page/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/sample-page/index.html	(from https://elmirapump.com/)
10:40:34	30123/30123	---M--	200	added ('OK')	image/jpeg	etag:%22de0ff9-75ab-53a203a7ffad0%22	https://elmirapump.com/wp-content/uploads/2016/08/working-background.jpg	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/08/working-background.jpg	(from https://elmirapump.com/)
10:40:34	39167/39167	---M--	200	added ('OK')	image/png	etag:%22de11da-98ff-508c47967a0c0%22	https://elmirapump.com/wp-content/uploads/2014/11/HEpumpad1.png	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2014/11/HEpumpad1.png	(from https://elmirapump.com/)
10:40:34	25081/25081	---M--	200	added ('OK')	image/jpeg	etag:%22de121f-61f9-508c4a00752c0%22	https://elmirapump.com/wp-content/uploads/2014/11/Sealad-701x292.jpg	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2014/11/Sealad-701x292.jpg	(from https://elmirapump.com/)
10:40:35	31380/31380	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:34%20GMT	https://elmirapump.com/index.php/product/centrifugal-pump/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/product/centrifugal-pump/index.html	(from https://elmirapump.com/)
10:40:35	48236/48236	---M--	200	added ('OK')	image/png	etag:%22de1000-bc6c-53a204ffdbadf%22	https://elmirapump.com/wp-content/uploads/2016/08/Mechinal-seals.png	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/08/Mechinal-seals.png	(from https://elmirapump.com/)
10:40:35	38341/38341	---M--	200	added ('OK')	image/jpeg	etag:%22de0fbc-95c5-53a1d645d69ae%22	https://elmirapump.com/wp-content/uploads/2016/08/surface-ocean.jpg	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/08/surface-ocean.jpg	(from https://elmirapump.com/)
10:40:35	24189/24189	---M--	200	added ('OK')	image/png	etag:%22de09b7-5e7d-53a6e85e36268%22	https://elmirapump.com/wp-content/uploads/2016/08/Flow-Meter-Z-5050-min.png	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/08/Flow-Meter-Z-5050-min.png	(from https://elmirapump.com/)
10:40:35	15248/15248	---M--	200	added ('OK')	application/javascript	etag:%22de0cf4-3b90-5499d399b6082%22	https://elmirapump.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.51.0-2014.06.20	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.mind03d.js	(from https://elmirapump.com/)
10:40:35	41481/41481	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:35%20GMT	https://elmirapump.com/index.php/shop/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/shop/index.html	(from https://elmirapump.com/)
10:40:36	12106/12106	---M--	200	added ('OK')	application/javascript	etag:%22de0cf5-2f4a-5499d399b6082%22	https://elmirapump.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.6.1	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/plugins/contact-form-7/includes/js/scripts1c9b.js	(from https://elmirapump.com/)
10:40:37	1767/1767	---M--	200	added ('OK')	application/javascript	etag:%22de2597-6e7-54717b15b3e76%22	http://elmirapump.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=2.6.13	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min8dc7.js	(from https://elmirapump.com/)
10:40:37	64916/64916	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:36%20GMT	https://elmirapump.com/index.php/cart/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/cart/index.html	(from https://elmirapump.com/)
10:40:37	33332/33332	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:36%20GMT	https://elmirapump.com/index.php/my-account/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/my-account/index.html	(from https://elmirapump.com/)
10:40:37	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2002%20Oct%202017%2014:40:36%20GMT	https://elmirapump.com/index.php/checkout/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/checkout/index.html	(from https://elmirapump.com/)
10:40:39	9563/9563	---M--	200	added ('OK')	application/javascript	etag:%22de257b-255b-54717b15af825%22	http://elmirapump.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from https://elmirapump.com/)
10:40:39	25449/25449	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:37%20GMT	https://elmirapump.com/index.php/contact/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/contact/index.html	(from https://elmirapump.com/)
10:40:39	36533/36533	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:37%20GMT	https://elmirapump.com/index.php/ef-centrifugal-pumps/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/ef-centrifugal-pumps/index.html	(from https://elmirapump.com/)
10:40:39	35061/35061	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:38%20GMT	https://elmirapump.com/index.php/champion-pump/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/champion-pump/index.html	(from https://elmirapump.com/)
10:40:41	277/277	---M--	200	added ('OK')	application/javascript	etag:%22de25a2-115-54717b15cffaf%22	http://elmirapump.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=2.6.13	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min8dc7.js	(from https://elmirapump.com/)
10:40:41	34738/34738	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:39%20GMT	https://elmirapump.com/index.php/filter-press/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/filter-press/index.html	(from https://elmirapump.com/)
10:40:41	33949/33949	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:39%20GMT	https://elmirapump.com/index.php/10-gal-ro-system/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/10-gal-ro-system/index.html	(from https://elmirapump.com/)
10:40:41	38667/38667	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:40%20GMT	https://elmirapump.com/index.php/belt-filter/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/belt-filter/index.html	(from https://elmirapump.com/)
10:40:43	1412/1412	---M--	200	added ('OK')	application/javascript	etag:%22de2585-584-54717b15b07c5%22	http://elmirapump.com/wp-content/plugins/woocommerce/assets/js/jquery-cookie/jquery.cookie.min.js?ver=1.4.1	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/plugins/woocommerce/assets/js/jquery-cookie/jquery.cookie.min330a.js	(from https://elmirapump.com/)
10:40:43	27748/27748	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:41%20GMT	https://elmirapump.com/index.php/product-category/pumps/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/product-category/pumps/index.html	(from https://elmirapump.com/)
10:40:43	41435/41435	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:42%20GMT	https://elmirapump.com/index.php/product-category/mechanical-seals/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/product-category/mechanical-seals/index.html	(from https://elmirapump.com/)
10:40:43	45734/45734	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:41%20GMT	https://elmirapump.com/index.php/product-category/flow-meters/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/product-category/flow-meters/index.html	(from https://elmirapump.com/)
10:40:45	2401/2401	---M--	200	added ('OK')	application/javascript	etag:%22de259c-961-54717b15b4646%22	http://elmirapump.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=2.6.13	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min8dc7.js	(from https://elmirapump.com/)
10:40:45	21446/21446	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Oct%202017%2014:40:44%20GMT	https://elmirapump.com/index.php/custom-projects-and-product-inquiries/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/custom-projects-and-product-inquiries/index.html	(from https://elmirapump.com/)
10:40:45	27804/27804	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:43%20GMT	https://elmirapump.com/index.php/product-category/used-product/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/product-category/used-product/index.html	(from https://elmirapump.com/)
10:40:45	27764/27764	---MC-	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2014:40:43%20GMT	https://elmirapump.com/index.php/product-category/bundles/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/product-category/bundles/index.html	(from https://elmirapump.com/)
10:40:45	2405/2405	---M--	200	added ('OK')	application/javascript	etag:%2216206de-965-5333624f748ac%22	https://elmirapump.com/wp-content/themes/JointsWP-CSS-master/vendor/what-input/what-input.min.js?ver=4.7.2	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/themes/JointsWP-CSS-master/vendor/what-input/what-input.mine100.js	(from https://elmirapump.com/)
10:40:46	105837/105837	---M--	200	added ('OK')	application/javascript	etag:%221620565-19d6d-5333624f6df34%22	https://elmirapump.com/wp-content/themes/JointsWP-CSS-master/vendor/foundation-sites/dist/foundation.min.js?ver=6.0	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/themes/JointsWP-CSS-master/vendor/foundation-sites/dist/foundation.minf049.js	(from https://elmirapump.com/)
10:40:46	735/735	---M--	200	added ('OK')	application/javascript	etag:%221620413-2df-5333624f54123%22	https://elmirapump.com/wp-content/themes/JointsWP-CSS-master/assets/js/scripts.js?ver=4.7.2	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/themes/JointsWP-CSS-master/assets/js/scriptse100.js	(from https://elmirapump.com/)
10:40:46	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%22dc03a0-576-54717a3243acd%22	https://elmirapump.com/wp-includes/js/wp-embed.min.js?ver=4.7.2	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-includes/js/wp-embed.mine100.js	(from https://elmirapump.com/)
10:40:46	21410/21410	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Oct%202017%2014:40:45%20GMT	https://elmirapump.com/index.php/about-elmira-pump-company/	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/index.php/about-elmira-pump-company/index.html	(from https://elmirapump.com/)
10:40:49	349575/349575	---M--	200	added ('OK')	image/png	etag:%2216c022c-55587-5357c29ae4621%22	https://elmirapump.com/wp-content/uploads/2016/06/elmira-pump-background.png	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/06/elmira-pump-background.png	(from https://elmirapump.com/wp-content/themes/JointsWP-CSS-master/style.css)
10:40:50	151063/151063	---M--	200	added ('OK')	image/jpeg	etag:%22de0f90-24e17-53a1cb65df69a%22	https://elmirapump.com/wp-content/uploads/2016/08/deep-sea.jpg	C:/Users/kkahlon3672/Desktop/elmira%20pump/elmirapump.com/wp-content/uploads/2016/08/deep-sea.jpg	(from https://elmirapump.com/wp-content/themes/JointsWP-CSS-master/style.css)
